dataset;metodo;strategia;llm_model;Silhouette;Davies-Bouldin;Compactness_class_1;KL_mean;JS_mean;Q_multi_attribute_similarity;KS_mean;Chi2_mean;WD_mean;pMSE;Precision;Recall;Density;Coverage;mDCR;MAD_mean;MMD;PCA_WD_mean;PCA_explained_var_cum;Moment_mean_diff;Moment_var_diff;Moment_skew_diff;Moment_kurt_diff;FE_real_mean;FE_syn_mean;FE_ratio_mean;Coverage_div
vowel0;gemma4_31b_cloud__distribution_guidance;distribution_guidance;gemma4_31b_cloud;0.035 +/- 0.000;4.621 +/- 0.000;8.215 +/- 0.000;0.082 +/- 0.000;0.021 +/- 0.000;0.934 +/- 0.000;0.117 +/- 0.000;0.037 +/- 0.000;0.223 +/- 0.000;0.011 +/- 0.000;0.751 +/- 0.000;1.0 +/- 0.000;0.791 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.14 +/- 0.000;0.124 +/- 0.000;0.336 +/- 0.000;0.816 +/- 0.000;0.14 +/- 0.000;0.211 +/- 0.000;0.186 +/- 0.000;0.561 +/- 0.000;2.624 +/- 0.000;2.494 +/- 0.000;0.959 +/- 0.000;1.0 +/- 0.000
yeast1;gemma4_31b_cloud__distribution_guidance;distribution_guidance;gemma4_31b_cloud;0.048 +/- 0.000;4.203 +/- 0.000;5.931 +/- 0.000;0.07 +/- 0.000;0.021 +/- 0.000;0.956 +/- 0.000;0.084 +/- 0.000;0.031 +/- 0.000;0.238 +/- 0.000;0.027 +/- 0.000;0.999 +/- 0.000;1.0 +/- 0.000;1.063 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.18 +/- 0.000;0.274 +/- 0.000;0.382 +/- 0.000;0.754 +/- 0.000;0.18 +/- 0.000;0.613 +/- 0.000;0.686 +/- 0.000;12.825 +/- 0.000;2.246 +/- 0.000;2.255 +/- 0.000;0.946 +/- 0.000;1.0 +/- 0.000
yeast3;gemma4_31b_cloud__distribution_guidance;distribution_guidance;gemma4_31b_cloud;0.007 +/- 0.000;4.647 +/- 0.000;2.533 +/- 0.000;0.07 +/- 0.000;0.018 +/- 0.000;0.947 +/- 0.000;0.071 +/- 0.000;0.031 +/- 0.000;0.151 +/- 0.000;0.003 +/- 0.000;0.999 +/- 0.000;1.0 +/- 0.000;1.246 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.057 +/- 0.000;0.163 +/- 0.000;0.202 +/- 0.000;0.754 +/- 0.000;0.057 +/- 0.000;0.389 +/- 0.000;1.136 +/- 0.000;23.796 +/- 0.000;2.384 +/- 0.000;2.256 +/- 0.000;0.873 +/- 0.000;1.0 +/- 0.000
abalone9-18;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.025 +/- 0.000;9.777 +/- 0.000;8.172 +/- 0.000;0.032 +/- 0.000;0.009 +/- 0.000;0.962 +/- 0.000;0.058 +/- 0.000;0.012 +/- 0.000;0.098 +/- 0.000;0.01 +/- 0.000;0.951 +/- 0.000;1.0 +/- 0.000;1.077 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.068 +/- 0.000;0.044 +/- 0.000;0.118 +/- 0.000;0.983 +/- 0.000;0.068 +/- 0.000;0.146 +/- 0.000;0.379 +/- 0.000;1.648 +/- 0.000;2.568 +/- 0.000;2.608 +/- 0.000;1.03 +/- 0.000;1.0 +/- 0.000
cleveland-0_vs_4;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.14 +/- 0.000;2.461 +/- 0.000;12.368 +/- 0.000;0.076 +/- 0.000;0.021 +/- 0.000;0.948 +/- 0.000;0.134 +/- 0.000;0.035 +/- 0.000;0.286 +/- 0.000;0.027 +/- 0.000;0.978 +/- 0.000;1.0 +/- 0.000;1.102 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.275 +/- 0.000;0.181 +/- 0.000;0.386 +/- 0.000;0.591 +/- 0.000;0.275 +/- 0.000;0.258 +/- 0.000;0.516 +/- 0.000;1.174 +/- 0.000;1.28 +/- 0.000;1.435 +/- 0.000;1.167 +/- 0.000;1.0 +/- 0.000
dermatology-6;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.082 +/- 0.000;2.523 +/- 0.000;15.989 +/- 0.000;0.063 +/- 0.000;0.016 +/- 0.000;0.965 +/- 0.000;0.114 +/- 0.000;0.028 +/- 0.000;0.269 +/- 0.000;0.036 +/- 0.000;0.958 +/- 0.000;1.0 +/- 0.000;0.904 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.256 +/- 0.000;0.195 +/- 0.000;0.813 +/- 0.000;0.631 +/- 0.000;0.256 +/- 0.000;0.426 +/- 0.000;0.818 +/- 0.000;3.975 +/- 0.000;0.877 +/- 0.000;0.825 +/- 0.000;1.02 +/- 0.000;1.0 +/- 0.000
iris0;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.599 +/- 0.000;0.594 +/- 0.000;0.839 +/- 0.000;0.053 +/- 0.000;0.014 +/- 0.000;0.98 +/- 0.000;0.158 +/- 0.000;0.026 +/- 0.000;0.286 +/- 0.000;0.006 +/- 0.000;0.995 +/- 0.000;1.0 +/- 0.000;1.141 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.282 +/- 0.000;0.155 +/- 0.000;0.171 +/- 0.000;1.0 +/- 0.000;0.282 +/- 0.000;0.058 +/- 0.000;0.432 +/- 0.000;0.127 +/- 0.000;1.814 +/- 0.000;1.728 +/- 0.000;0.946 +/- 0.000;1.0 +/- 0.000
ecoli-0_vs_1;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.352 +/- 0.000;1.259 +/- 0.000;6.357 +/- 0.000;0.02 +/- 0.000;0.005 +/- 0.000;0.982 +/- 0.000;0.06 +/- 0.000;0.009 +/- 0.000;0.117 +/- 0.000;0.007 +/- 0.000;1.0 +/- 0.000;1.0 +/- 0.000;1.139 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.098 +/- 0.000;0.091 +/- 0.000;0.162 +/- 0.000;0.984 +/- 0.000;0.098 +/- 0.000;0.108 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.836 +/- 0.000;1.0 +/- 0.000
ecoli1;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.175 +/- 0.000;2.134 +/- 0.000;5.13 +/- 0.000;0.029 +/- 0.000;0.008 +/- 0.000;0.973 +/- 0.000;0.074 +/- 0.000;0.014 +/- 0.000;0.145 +/- 0.000;0.01 +/- 0.000;0.954 +/- 0.000;1.0 +/- 0.000;1.05 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.131 +/- 0.000;0.11 +/- 0.000;0.171 +/- 0.000;0.914 +/- 0.000;0.131 +/- 0.000;0.172 +/- 0.000;0.688 +/- 0.000;13.193 +/- 0.000;1.695 +/- 0.000;1.718 +/- 0.000;1.043 +/- 0.000;1.0 +/- 0.000
kddcup-guess_passwd_vs_satan;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.178 +/- 0.000;2.226 +/- 0.000;31.015 +/- 0.000;0.059 +/- 0.000;0.017 +/- 0.000;0.967 +/- 0.000;0.087 +/- 0.000;0.024 +/- 0.000;0.738 +/- 0.000;0.028 +/- 0.000;0.88 +/- 0.000;1.0 +/- 0.000;1.229 +/- 0.000;1.0 +/- 0.000;1.0 +/- 0.000;0.726 +/- 0.000;0.22 +/- 0.000;4.555 +/- 0.000;0.742 +/- 0.000;0.726 +/- 0.000;10328.519 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;210.636 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_0;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.113 +/- 0.000;4.424 +/- 0.000;32.568 +/- 0.000;0.005 +/- 0.000;0.002 +/- 0.000;0.997 +/- 0.000;0.017 +/- 0.000;0.002 +/- 0.000;0.043 +/- 0.000;0.002 +/- 0.000;0.975 +/- 0.000;1.0 +/- 0.000;1.131 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.041 +/- 0.000;0.007 +/- 0.000;0.11 +/- 0.000;0.492 +/- 0.000;0.041 +/- 0.000;0.102 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.912 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_1;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.058 +/- 0.000;2.658 +/- 0.000;7.413 +/- 0.000;0.019 +/- 0.000;0.005 +/- 0.000;0.99 +/- 0.000;0.052 +/- 0.000;0.009 +/- 0.000;0.119 +/- 0.000;0.015 +/- 0.000;0.986 +/- 0.000;1.0 +/- 0.000;1.104 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.118 +/- 0.000;0.125 +/- 0.000;0.313 +/- 0.000;0.492 +/- 0.000;0.118 +/- 0.000;0.214 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.782 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_2;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.022 +/- 0.000;4.818 +/- 0.000;14.856 +/- 0.000;0.018 +/- 0.000;0.005 +/- 0.000;0.99 +/- 0.000;0.039 +/- 0.000;0.007 +/- 0.000;0.088 +/- 0.000;0.014 +/- 0.000;0.98 +/- 0.000;1.0 +/- 0.000;1.194 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.079 +/- 0.000;0.097 +/- 0.000;0.182 +/- 0.000;0.492 +/- 0.000;0.079 +/- 0.000;0.193 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.997 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_3;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.273 +/- 0.000;1.61 +/- 0.000;13.157 +/- 0.000;0.096 +/- 0.000;0.027 +/- 0.000;0.949 +/- 0.000;0.123 +/- 0.000;0.041 +/- 0.000;0.473 +/- 0.000;0.045 +/- 0.000;0.979 +/- 0.000;1.0 +/- 0.000;1.054 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.473 +/- 0.000;0.322 +/- 0.000;1.066 +/- 0.000;0.492 +/- 0.000;0.473 +/- 0.000;1.923 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.76 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_4;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.116 +/- 0.000;3.807 +/- 0.000;23.412 +/- 0.000;0.025 +/- 0.000;0.007 +/- 0.000;0.985 +/- 0.000;0.052 +/- 0.000;0.012 +/- 0.000;0.228 +/- 0.000;0.022 +/- 0.000;0.993 +/- 0.000;1.0 +/- 0.000;1.109 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.22 +/- 0.000;0.162 +/- 0.000;0.497 +/- 0.000;0.492 +/- 0.000;0.22 +/- 0.000;1.324 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.625 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_5;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.021 +/- 0.000;5.45 +/- 0.000;16.012 +/- 0.000;0.022 +/- 0.000;0.006 +/- 0.000;0.988 +/- 0.000;0.043 +/- 0.000;0.009 +/- 0.000;0.096 +/- 0.000;0.016 +/- 0.000;0.953 +/- 0.000;1.0 +/- 0.000;1.028 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.082 +/- 0.000;0.092 +/- 0.000;0.22 +/- 0.000;0.492 +/- 0.000;0.082 +/- 0.000;0.167 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.032 +/- 0.000;1.0 +/- 0.000
new-thyroid1;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.261 +/- 0.000;1.573 +/- 0.000;5.693 +/- 0.000;0.078 +/- 0.000;0.023 +/- 0.000;0.923 +/- 0.000;0.121 +/- 0.000;0.031 +/- 0.000;0.276 +/- 0.000;0.01 +/- 0.000;0.955 +/- 0.000;1.0 +/- 0.000;1.165 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.264 +/- 0.000;0.158 +/- 0.000;0.298 +/- 0.000;1.0 +/- 0.000;0.264 +/- 0.000;0.539 +/- 0.000;0.566 +/- 0.000;3.289 +/- 0.000;2.378 +/- 0.000;2.517 +/- 0.000;1.057 +/- 0.000;1.0 +/- 0.000
newthyroid2;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.249 +/- 0.000;1.628 +/- 0.000;5.815 +/- 0.000;0.065 +/- 0.000;0.019 +/- 0.000;0.923 +/- 0.000;0.106 +/- 0.000;0.028 +/- 0.000;0.207 +/- 0.000;0.007 +/- 0.000;0.944 +/- 0.000;1.0 +/- 0.000;1.135 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.192 +/- 0.000;0.119 +/- 0.000;0.2 +/- 0.000;1.0 +/- 0.000;0.192 +/- 0.000;0.284 +/- 0.000;0.358 +/- 0.000;2.482 +/- 0.000;2.398 +/- 0.000;2.546 +/- 0.000;1.062 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_0;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.076 +/- 0.000;4.058 +/- 0.000;14.957 +/- 0.000;0.035 +/- 0.000;0.009 +/- 0.000;0.976 +/- 0.000;0.086 +/- 0.000;0.016 +/- 0.000;0.17 +/- 0.000;0.016 +/- 0.000;0.907 +/- 0.000;1.0 +/- 0.000;0.99 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.153 +/- 0.000;0.111 +/- 0.000;0.318 +/- 0.000;0.543 +/- 0.000;0.153 +/- 0.000;0.173 +/- 0.000;0.435 +/- 0.000;2.251 +/- 0.000;1.084 +/- 0.000;1.072 +/- 0.000;0.979 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_1;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.077 +/- 0.000;4.416 +/- 0.000;19.053 +/- 0.000;0.032 +/- 0.000;0.009 +/- 0.000;0.979 +/- 0.000;0.067 +/- 0.000;0.015 +/- 0.000;0.171 +/- 0.000;0.014 +/- 0.000;0.922 +/- 0.000;1.0 +/- 0.000;0.918 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.146 +/- 0.000;0.091 +/- 0.000;0.254 +/- 0.000;0.543 +/- 0.000;0.146 +/- 0.000;0.244 +/- 0.000;0.442 +/- 0.000;2.053 +/- 0.000;1.109 +/- 0.000;1.187 +/- 0.000;1.147 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_2;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.019 +/- 0.000;6.932 +/- 0.000;14.519 +/- 0.000;0.028 +/- 0.000;0.008 +/- 0.000;0.982 +/- 0.000;0.055 +/- 0.000;0.012 +/- 0.000;0.129 +/- 0.000;0.012 +/- 0.000;0.901 +/- 0.000;1.0 +/- 0.000;0.919 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.096 +/- 0.000;0.102 +/- 0.000;0.193 +/- 0.000;0.543 +/- 0.000;0.096 +/- 0.000;0.127 +/- 0.000;0.327 +/- 0.000;2.177 +/- 0.000;1.12 +/- 0.000;1.128 +/- 0.000;0.985 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_3;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.018 +/- 0.000;6.024 +/- 0.000;12.972 +/- 0.000;0.03 +/- 0.000;0.008 +/- 0.000;0.98 +/- 0.000;0.062 +/- 0.000;0.014 +/- 0.000;0.128 +/- 0.000;0.014 +/- 0.000;0.89 +/- 0.000;1.0 +/- 0.000;0.913 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.106 +/- 0.000;0.105 +/- 0.000;0.197 +/- 0.000;0.543 +/- 0.000;0.106 +/- 0.000;0.152 +/- 0.000;0.386 +/- 0.000;2.935 +/- 0.000;1.129 +/- 0.000;1.128 +/- 0.000;0.966 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_4;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.016 +/- 0.000;6.035 +/- 0.000;13.5 +/- 0.000;0.024 +/- 0.000;0.007 +/- 0.000;0.983 +/- 0.000;0.056 +/- 0.000;0.011 +/- 0.000;0.114 +/- 0.000;0.008 +/- 0.000;0.872 +/- 0.000;1.0 +/- 0.000;0.877 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.1 +/- 0.000;0.079 +/- 0.000;0.194 +/- 0.000;0.543 +/- 0.000;0.1 +/- 0.000;0.147 +/- 0.000;0.376 +/- 0.000;2.548 +/- 0.000;1.127 +/- 0.000;1.161 +/- 0.000;1.024 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_5;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.073 +/- 0.000;2.799 +/- 0.000;9.242 +/- 0.000;0.046 +/- 0.000;0.012 +/- 0.000;0.974 +/- 0.000;0.097 +/- 0.000;0.021 +/- 0.000;0.202 +/- 0.000;0.022 +/- 0.000;0.825 +/- 0.000;1.0 +/- 0.000;0.84 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.194 +/- 0.000;0.154 +/- 0.000;0.335 +/- 0.000;0.543 +/- 0.000;0.194 +/- 0.000;0.213 +/- 0.000;0.58 +/- 0.000;4.077 +/- 0.000;1.108 +/- 0.000;1.105 +/- 0.000;0.935 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_6;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.129 +/- 0.000;2.351 +/- 0.000;4.43 +/- 0.000;0.039 +/- 0.000;0.01 +/- 0.000;0.979 +/- 0.000;0.093 +/- 0.000;0.017 +/- 0.000;0.187 +/- 0.000;0.015 +/- 0.000;0.937 +/- 0.000;1.0 +/- 0.000;1.896 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.176 +/- 0.000;0.155 +/- 0.000;0.35 +/- 0.000;0.533 +/- 0.000;0.176 +/- 0.000;0.212 +/- 0.000;0.655 +/- 0.000;4.74 +/- 0.000;0.839 +/- 0.000;0.768 +/- 0.000;0.907 +/- 0.000;1.0 +/- 0.000
page-blocks-1-3_vs_4;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.155 +/- 0.000;2.495 +/- 0.000;9.718 +/- 0.000;0.201 +/- 0.000;0.06 +/- 0.000;0.873 +/- 0.000;0.213 +/- 0.000;0.077 +/- 0.000;0.28 +/- 0.000;0.008 +/- 0.000;0.86 +/- 0.000;1.0 +/- 0.000;0.894 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.232 +/- 0.000;0.18 +/- 0.000;0.28 +/- 0.000;0.968 +/- 0.000;0.232 +/- 0.000;0.666 +/- 0.000;0.885 +/- 0.000;8.86 +/- 0.000;1.896 +/- 0.000;2.43 +/- 0.000;1.345 +/- 0.000;1.0 +/- 0.000
pima;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.078 +/- 0.000;3.358 +/- 0.000;9.092 +/- 0.000;0.02 +/- 0.000;0.006 +/- 0.000;0.973 +/- 0.000;0.06 +/- 0.000;0.008 +/- 0.000;0.12 +/- 0.000;0.004 +/- 0.000;0.978 +/- 0.000;1.0 +/- 0.000;1.181 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.103 +/- 0.000;0.048 +/- 0.000;0.149 +/- 0.000;0.812 +/- 0.000;0.103 +/- 0.000;0.163 +/- 0.000;0.245 +/- 0.000;0.823 +/- 0.000;2.406 +/- 0.000;2.468 +/- 0.000;1.029 +/- 0.000;1.0 +/- 0.000
transfusion;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.072 +/- 0.000;3.65 +/- 0.000;5.359 +/- 0.000;0.061 +/- 0.000;0.017 +/- 0.000;0.937 +/- 0.000;0.102 +/- 0.000;0.023 +/- 0.000;0.208 +/- 0.000;0.005 +/- 0.000;0.904 +/- 0.000;1.0 +/- 0.000;1.497 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.18 +/- 0.000;0.074 +/- 0.000;0.212 +/- 0.000;1.0 +/- 0.000;0.18 +/- 0.000;0.598 +/- 0.000;0.414 +/- 0.000;2.84 +/- 0.000;2.347 +/- 0.000;2.58 +/- 0.000;1.104 +/- 0.000;1.0 +/- 0.000
vowel0;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.042 +/- 0.000;6.516 +/- 0.000;12.257 +/- 0.000;0.072 +/- 0.000;0.019 +/- 0.000;0.931 +/- 0.000;0.087 +/- 0.000;0.033 +/- 0.000;0.163 +/- 0.000;0.005 +/- 0.000;0.689 +/- 0.000;1.0 +/- 0.000;0.744 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.098 +/- 0.000;0.096 +/- 0.000;0.273 +/- 0.000;0.816 +/- 0.000;0.098 +/- 0.000;0.111 +/- 0.000;0.198 +/- 0.000;0.922 +/- 0.000;2.505 +/- 0.000;2.465 +/- 0.000;0.988 +/- 0.000;1.0 +/- 0.000
yeast1;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.056 +/- 0.000;4.72 +/- 0.000;8.975 +/- 0.000;0.064 +/- 0.000;0.02 +/- 0.000;0.953 +/- 0.000;0.077 +/- 0.000;0.026 +/- 0.000;0.206 +/- 0.000;0.021 +/- 0.000;0.941 +/- 0.000;1.0 +/- 0.000;1.017 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.171 +/- 0.000;0.227 +/- 0.000;0.35 +/- 0.000;0.754 +/- 0.000;0.171 +/- 0.000;0.56 +/- 0.000;0.711 +/- 0.000;9.334 +/- 0.000;2.182 +/- 0.000;2.338 +/- 0.000;1.554 +/- 0.000;1.0 +/- 0.000
yeast3;gemma4_31b_cloud__ensemble;ensemble;gemma4_31b_cloud;0.039 +/- 0.000;5.897 +/- 0.000;9.184 +/- 0.000;0.052 +/- 0.000;0.016 +/- 0.000;0.945 +/- 0.000;0.06 +/- 0.000;0.02 +/- 0.000;0.108 +/- 0.000;0.002 +/- 0.000;0.931 +/- 0.000;1.0 +/- 0.000;1.09 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.06 +/- 0.000;0.088 +/- 0.000;0.17 +/- 0.000;0.754 +/- 0.000;0.06 +/- 0.000;0.233 +/- 0.000;0.822 +/- 0.000;11.055 +/- 0.000;2.267 +/- 0.000;2.392 +/- 0.000;1.808 +/- 0.000;1.0 +/- 0.000
abalone9-18;gemma4_31b_cloud__hierarchical;hierarchical;gemma4_31b_cloud;0.024 +/- 0.000;5.666 +/- 0.000;6.105 +/- 0.000;0.045 +/- 0.000;0.011 +/- 0.000;0.952 +/- 0.000;0.086 +/- 0.000;0.02 +/- 0.000;0.156 +/- 0.000;0.022 +/- 0.000;0.968 +/- 0.000;1.0 +/- 0.000;0.977 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.13 +/- 0.000;0.103 +/- 0.000;0.185 +/- 0.000;0.983 +/- 0.000;0.13 +/- 0.000;0.127 +/- 0.000;0.203 +/- 0.000;0.528 +/- 0.000;2.543 +/- 0.000;2.468 +/- 0.000;0.974 +/- 0.000;1.0 +/- 0.000
cleveland-0_vs_4;gemma4_31b_cloud__hierarchical;hierarchical;gemma4_31b_cloud;0.19 +/- 0.000;1.98 +/- 0.000;9.865 +/- 0.000;0.121 +/- 0.000;0.032 +/- 0.000;0.928 +/- 0.000;0.181 +/- 0.000;0.055 +/- 0.000;0.365 +/- 0.000;0.034 +/- 0.000;1.0 +/- 0.000;1.0 +/- 0.000;1.164 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.352 +/- 0.000;0.23 +/- 0.000;0.471 +/- 0.000;0.591 +/- 0.000;0.352 +/- 0.000;0.255 +/- 0.000;0.697 +/- 0.000;1.356 +/- 0.000;1.267 +/- 0.000;1.395 +/- 0.000;1.15 +/- 0.000;1.0 +/- 0.000
dermatology-6;gemma4_31b_cloud__hierarchical;hierarchical;gemma4_31b_cloud;0.129 +/- 0.000;2.017 +/- 0.000;11.317 +/- 0.000;0.099 +/- 0.000;0.026 +/- 0.000;0.949 +/- 0.000;0.143 +/- 0.000;0.044 +/- 0.000;0.353 +/- 0.000;0.042 +/- 0.000;0.997 +/- 0.000;1.0 +/- 0.000;1.079 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.334 +/- 0.000;0.276 +/- 0.000;1.13 +/- 0.000;0.631 +/- 0.000;0.334 +/- 0.000;0.543 +/- 0.000;0.938 +/- 0.000;4.349 +/- 0.000;0.88 +/- 0.000;0.832 +/- 0.000;1.074 +/- 0.000;1.0 +/- 0.000
iris0;gemma4_31b_cloud__hierarchical;hierarchical;gemma4_31b_cloud;0.602 +/- 0.000;0.585 +/- 0.000;0.818 +/- 0.000;0.052 +/- 0.000;0.013 +/- 0.000;0.981 +/- 0.000;0.158 +/- 0.000;0.026 +/- 0.000;0.285 +/- 0.000;0.006 +/- 0.000;1.0 +/- 0.000;1.0 +/- 0.000;1.249 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.282 +/- 0.000;0.154 +/- 0.000;0.18 +/- 0.000;1.0 +/- 0.000;0.282 +/- 0.000;0.045 +/- 0.000;0.446 +/- 0.000;0.146 +/- 0.000;1.843 +/- 0.000;1.775 +/- 0.000;0.958 +/- 0.000;1.0 +/- 0.000
ecoli-0_vs_1;gemma4_31b_cloud__hierarchical;hierarchical;gemma4_31b_cloud;0.349 +/- 0.000;1.274 +/- 0.000;6.482 +/- 0.000;0.019 +/- 0.000;0.005 +/- 0.000;0.981 +/- 0.000;0.055 +/- 0.000;0.009 +/- 0.000;0.114 +/- 0.000;0.008 +/- 0.000;0.996 +/- 0.000;1.0 +/- 0.000;1.123 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.1 +/- 0.000;0.09 +/- 0.000;0.159 +/- 0.000;0.984 +/- 0.000;0.1 +/- 0.000;0.103 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.841 +/- 0.000;1.0 +/- 0.000
ecoli1;gemma4_31b_cloud__hierarchical;hierarchical;gemma4_31b_cloud;0.203 +/- 0.000;1.83 +/- 0.000;3.318 +/- 0.000;0.048 +/- 0.000;0.012 +/- 0.000;0.967 +/- 0.000;0.1 +/- 0.000;0.023 +/- 0.000;0.2 +/- 0.000;0.016 +/- 0.000;0.998 +/- 0.000;1.0 +/- 0.000;1.138 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.184 +/- 0.000;0.149 +/- 0.000;0.231 +/- 0.000;0.914 +/- 0.000;0.184 +/- 0.000;0.23 +/- 0.000;1.08 +/- 0.000;28.671 +/- 0.000;1.667 +/- 0.000;1.644 +/- 0.000;0.91 +/- 0.000;1.0 +/- 0.000
